remark,"CSV-Import-Export"
remark,"Date = Fri Jul 10 12:42:36 2020"
remark,"Version = RSLogix 5000 v20.05"
remark,"Owner = "
remark,"Company = Microsoft"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Basin1FlushDone,"Basin #1l Flush Done","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1FlushEnd,"Basin #1 Flush Valves Complete","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1FlushSelected,"Basin #1 Flush Selected","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Flush_StartPB,"Start Basin #1 Flush PB From HMI","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Flush_StopPB,"Stop Basin #1 Flush PB From HMI","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv1_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv1_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv1_Valve,"Basin #1 FCV-1","P_ValveSO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv20_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv20_Valve,"Basin #1 FFV-1","P_ValveMO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv2_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv2_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv2_Valve,"Basin #1 FCV-2","P_ValveSO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv3_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv3_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv3_Valve,"Basin #1 FCV-3","P_ValveSO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv4_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv4_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv4_Valve,"Basin #1 FCV-4","P_ValveSO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv5_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv5_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv5_Valve,"Basin #1 FCV-5","P_ValveSO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv6_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv6_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv6_Valve,"Basin #1 FCV-6","P_ValveSO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv7_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1Fwv7_Valve,"Basin #1 FCV-7","P_ValveSO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1ValvesClosed,"Basin #1 Flushing Valves Closed","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1_TimeSinceLastFlush_Display1,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1_TimeSinceLastFlush_DisplayMin,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Basin1_TimeSinceLastFlush_DisplayTemp,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
