remark,"CSV-Import-Export"
remark,"Date = Mon Jul 13 08:26:03 2020"
remark,"Version = RSLogix 5000 v20.05"
remark,"Owner = "
remark,"Company = Microsoft"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,EN2T_CP1:I,"","AB:1756_ENET_17SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,EN2T_CP1:O,"","AB:1756_ENET_17SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,Basin_Level_Level_P_AIn_01,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Calculated_Setpoint_Constant,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,ChemecalFeedFlow_Ain,"Chemical Feed Flow","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,ChemecalTank1Level_Ain,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,ChemecalTank2Level_Ain,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemicalpump1Speed_Ain,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemicalpump2Speed_Ain,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemicalpump3Speed_Ain,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemicalpump4Speed_Ain,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemicalpump5Speed_Ain,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedFlow,"Chemical Feed Flow","UD_Flow","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1,"Chemical Feed Pump #1","UD_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_FailToStart,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_FailToStop,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_FlowPacing,"Chemical Feed Pump #1 Flow Pasing","U_FlowPacing","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_P_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_P_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_P_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_P_VSD,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_Reset_PB,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP1_SpeedSp,"Chemical Feed Pump #1 Speed Setpoint","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2,"Chemical Feed Pump #2","UD_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_FailToStart,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_FailToStop,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_FlowPacing,"Chemical Feed Pump #2 Flow Pasing","U_FlowPacing","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_Intlk_01,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_P_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_P_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_P_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_P_VSD,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_Reset_PB,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP2_SpeedSp,"Chemical Feed Pump #2 Speed Setpoint","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3,"Chemical Feed Pump #3","UD_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_FailToStart,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_FailToStop,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_FlowPacing,"Chemical Feed Pump #3 Flow Pasing","U_FlowPacing","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_Intlk_01,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_P_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_P_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_P_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_P_VSD,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_Reset_PB,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_SpeedSp,"Chemical Feed Pump #3 Speed Setpoint","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP3_VSD_01,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4,"Chemical Feed Pump #4","UD_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_FailToStart,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_FailToStop,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_FlowPacing,"Chemical Feed Pump #4 Flow Pasing","U_FlowPacing","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_Perm_01,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_VSD,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_VSD_01,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_P_VSD_02,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_Reset_PB,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP4_SpeedSp,"Chemical Feed vPump #4 Speed Setpoint","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5,"Chemical Feed Pump #5","UD_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_FailToStart,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_FailToStop,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_FlowPacing,"Chemical Feed Pump #5 Flow Pasing","U_FlowPacing","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_P_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_P_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_P_VSD,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_Reset_PB,"Basin #1 Flushing Water Valve #9 Alarm Reset PB","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_SpeedSp,"Chemical Feed Pump #5 Speed Setpoint","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedP5_VSD,"","P_VSD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedPumpSystemAvailable,"Basin #1 Flushing Water Valve #14 Alarm Reset PB","U_MotorAvailable","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedPumpSystemDemand,"Chemical_Feed$NPump System$NMotor Demand","U_MotorDemand","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1,"Chemical Feed Unit #1","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1_Motor,"Chemical Feed Uni1#1 Motor","P_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1_Reset_PB,"Basin #1 Flushing Water Valve #22 Alarm Reset PB","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU1_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU2,"Chemical Feed Unit #2","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU2_Intlk,"Shunt Flushing Water Valve #26 Alarm Reset PB","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU2_Motor,"Chemical Feed Uni1#2 Motor","P_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU2_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU2_Reset_PB,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU3,"Chemical Feed Unit #3","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU3_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU3_Motor,"Chemical Feed Uni1#3 Motor","P_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU3_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_FeedU3_Reset_PB,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer1_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer1_P_Motor,"","P_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer1_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer1_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer1_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer2_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer2_P_Motor,"","P_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer2_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer2_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer2_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer2_RunTime,"","P_RunTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer3_P_Intlk,"","P_Intlk","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer3_P_Motor,"","P_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer3_P_Perm,"","P_Perm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer3_Reset,"","P_Reset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Chemical_Feed_Mixer3_ResInh,"","P_ResInh","","(Constant := false, ExternalAccess := Read/Write)"
