remark,"CSV-Import-Export"
remark,"Date = Mon Jul 13 08:11:21 2020"
remark,"Version = RSLogix 5000 v20.05"
remark,"Owner = "
remark,"Company = Microsoft"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Local:1:C,"","AB:Embedded_DiscreteIO1:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:I,"","AB:Embedded_DiscreteIO1:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:O,"","AB:Embedded_DiscreteIO1:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:2:C,"","AB:Embedded_AnalogIO1:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:2:I,"","AB:Embedded_AnalogIO1:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:2:O,"","AB:Embedded_AnalogIO1:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:3:C,"","AB:Embedded_HSC1:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:3:I,"","AB:Embedded_HSC1:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:3:O,"","AB:Embedded_HSC1:O:0","","(ExternalAccess := Read/Write)"
ALIAS,,I_HiLvFloat,"","","Local:1:I.Data.11","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_HiLvFloat_IOFault,"","","Local:1:I.Data.11","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_LoLvFloat,"","","Local:1:I.Data.10","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_LoLvFloat_IOFault,"","","Local:1:I.Fault.10","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_Lv1,"","","Local:2:I.Ch0Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_Lv1_IOFault,"","","Local:2:I.Ch0InputOverRange","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm2,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm2_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm3,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm3_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm4,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm4_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm5,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P1_Alm5_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,I_P1_InAuto,"","","Local:1:I.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P1_InAuto_IOFault,"","","Local:1:I.Fault.1","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P1_MotorHiTemp,"","","Local:1:I.Data.7","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P1_MotorHiTemp_IOFault,"","","Local:1:I.Fault.7","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P1_Overload,"","","Local:1:I.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P1_Overload_IOFault,"","","Local:1:I.Fault.0","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P1_RunFdbk,"","","Local:1:I.Data.13","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P1_RunFdbk_IOFault,"","","Local:1:I.Fault.13","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm2,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm2_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm3,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm3_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm4,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm4_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm5,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,I_P2_Alm5_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,I_P2_InAuto,"","","Local:1:I.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P2_InAuto_IOFault,"","","Local:1:I.Fault.3","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P2_MotorHiTemp,"","","Local:1:I.Data.9","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P2_MotorHiTemp_IOFault,"","","Local:1:I.Fault.9","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P2_OvrldFault,"","","Local:1:I.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P2_OvrldFault_IOFault,"","","Local:1:I.Fault.2","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P2_RunFdbk,"","","Local:1:I.Data.14","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,I_P2_RunFdbk_IOFault,"","","Local:1:I.Fault.14","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,LST1_HiLvFloat,"Lift Station #1 High Level Float Alarm","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_LoLvFloat,"Lift Station #1 Low Level Float Alarm","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_Lv1,"Lift Station #1 Level #1","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P1,"Lift Station #1 Pump #1","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P1_Alm2,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P1_Alm3,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P1_Alm4,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P1_MotorHiTemp,"Lift Station #1$NPump #1 Motor High Temperature Switch","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P1_Overload,"Lift Station #1$NPump #1 Motor Overload Contact","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P2,"Lift Station #1 Pump #2","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P2_Alm2,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P2_Alm3,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P2_Alm4,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P2_MotorHiTemp,"Lift Station #1$NPump #2 Motor High Temperature Switch","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P2_Overload,"Lift Station #1$NPump #2 Motor Overload Contact","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P3,"","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P4,"","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P5,"","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_P6,"","UD_Motor","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_PumpSystemAvailable,"Lift Station #1$NPump System$NAvailable AOI","U_MotorAvailable","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_PumpSystemDemand,"Lift Station #1$NPump System$NMotor Demand AOI","U_MotorDemand","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LST1_PumpSystemStartOrderRotation,"Lift Station #1$NPump System$NStart Order Rotation AOI","U_MotorStartOrderRotation","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,O_AlarmDialer,"Lift Station #1$NAlarm Dialer","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,O_P1_Out_Run,"","","Local:1:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,O_P2_Out_Run,"","","Local:1:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,PLC_Device_ResetPB,"Site Wide Device Reset Push Button","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,PLC_Heartbeat,"","U_Heartbeat","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,PLC_Simulation,"Lift Station #1$NApplication running IN SIMULATION","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,PLC_WallClock,"Wall Clock","U_WallClock","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,WTP_CLX_CommFail,"","U_CommFail","","(Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
ALIAS,MainProgram,Alm00,"","","LST1_LoLvFloat","(ExternalAccess := Read/Write)"
ALIAS,MainProgram,Alm00_Input,"","","I_LoLvFloat","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,Alm00_Input_IOFault,"","","I_LoLvFloat_IOFault","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,Alm01,"","","LST1_HiLvFloat","(ExternalAccess := Read/Write)"
ALIAS,MainProgram,Alm01_Input,"","","I_HiLvFloat","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,Alm01_Input_IOFault,"","","I_HiLvFloat_IOFault","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm02,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm02_Input,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm02_Input_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm03,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm03_Input,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm03_Input_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm04,"","P_DIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm04_Input,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,Alm04_Input_IOFault,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,MainProgram,Analog00,"","","LST1_Lv1","(ExternalAccess := Read/Write)"
ALIAS,MainProgram,Analog00_Input,"","","I_Lv1","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,Analog00_Input_IOFault,"","","I_Lv1_IOFault","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,MainProgram,Analog01,"","P_AIn","","(Constant := false, ExternalAccess := Read/Write)"
